timestamp, linaccelx, linaccely, linaccelz, gyrox, gryoy, gyroz, magnx, magny, magnz, roll, pitch, yaw, tempbno, tempbmp, pressure
189783224, 1.059999942779541, 0.15000000596046448, -0.36000001430511475, 0.5, -17.0, -52.75, 0.0719948336482048, -0.19198621809482574, -0.8770279288291931, 181.25, 2.4375, 0.5625, 27, 25.73881194401328, 100591.9761402976
189791995, 1.059999942779541, 0.15000000596046448, -0.36000001430511475, 0.5, -17.0, -52.75, 0.05999569222331047, -0.1025380939245224, -0.8726646304130554, 181.75, 2.5, 0.5, 27, 25.73881194401328, 100591.9761402976
189828861, 0.44999998807907104, 0.019999999552965164, -0.17000000178813934, 0.5, -17.0, -52.75, 0.05235987901687622, 0.0719948336482048, -0.915207028388977, 183.25, 2.4375, 0.375, 27, 25.73881194401328, 100591.9761402976
189843612, 0.2800000011920929, 0.03999999910593033, -0.029999999329447746, 0.25, -21.6875, -53.5625, 0.04254240170121193, 0.09053895622491837, -0.9108436703681946, 184.25, 2.375, 0.3125, 27, 25.73881194401328, 100591.9761402976
189881481, 0.009999999776482582, -0.03999999910593033, 0.10000000149011612, 2.75, -18.0625, -51.6875, 0.01745329238474369, 0.10581058263778687, -0.7930339574813843, 186.0625, 2.125, 0.1875, 27, 25.73881194401328, 100591.9761402976
189896184, -0.1599999964237213, -0.20999999344348907, 0.05000000074505806, 2.75, -18.0625, -51.6875, 0.04036073759198189, 0.13199052214622498, -0.7417649030685425, 186.4375, 2.0625, 0.125, 27, 25.73881194401328, 100591.9761402976
189935861, -0.3100000023841858, -0.05999999865889549, -0.05999999865889549, 3.0625, -21.25, -52.375, 0.08508480340242386, 0.17780540883541107, -0.7035858631134033, 188.0625, 1.6875, -0.0625, 27, 25.715501038718546, 100596.12866261428
189944639, -0.3700000047683716, -0.05999999865889549, -0.03999999910593033, 3.0625, -21.25, -52.375, 0.0719948336482048, 0.19634954631328583, -0.6981316804885864, 188.4375, 1.625, -0.125, 27, 25.715501038718546, 100596.12866261428
189983089, -0.7400000095367432, -0.3199999928474426, 0.009999999776482582, 5.5625, -18.5, -52.0, 0.01636246219277382, 0.1799870729446411, -0.7177666425704956, 190.0, 1.1875, -0.1875, 27, 25.715501038718546, 100596.12866261428
189997636, -0.8399999737739563, -0.36000001430511475, -0.11999999731779099, 5.5625, -18.5, -52.0, 0.03381575271487236, 0.17126043140888214, -0.71885746717453, 190.8125, 1.0, -0.25, 27, 25.715501038718546, 100596.12866261428
190037155, -0.9300000071525574, -0.30000001192092896, -0.10000000149011612, 5.25, -22.5625, -53.1875, 0.1494438201189041, 0.1276271939277649, -0.615228533744812, 191.875, 0.75, -0.5, 27, 25.715501038718546, 100596.12866261428
190051690, -0.9300000071525574, -0.27000001072883606, -0.09000000357627869, 5.25, -22.5625, -53.1875, 0.20398534834384918, 0.07635815441608429, -0.5814127922058105, 192.5, 0.5, -0.6875, 27, 25.715501038718546, 100596.12866261428
190089202, -0.6100000143051147, 0.18000000715255737, 0.029999999329447746, 7.25, -18.75, -51.6875, 0.1898045539855957, 0.047996554523706436, -0.5115996599197388, 193.4375, 0.4375, -1.0, 27, 25.715895835349844, 100596.41841402058
190098311, -0.5799999833106995, 0.1899999976158142, 0.07999999821186066, 7.25, -18.75, -51.6875, 0.16689710319042206, 0.07308565825223923, -0.4777838885784149, 193.9375, 0.3125, -1.1875, 27, 25.715895835349844, 100596.41841402058
190137623, -0.7799999713897705, 0.019999999552965164, 0.009999999776482582, 6.75, -22.5625, -52.5, 0.1799870729446411, 0.15489797294139862, -0.45814892649650574, 194.6875, 0.0, -1.5, 27, 25.715895835349844, 100596.41841402058
190152167, -0.7400000095367432, 0.03999999910593033, 0.03999999910593033, 6.75, -22.5625, -52.5, 0.22689279913902283, 0.153807133436203, -0.40687987208366394, 195.1875, -0.375, -1.75, 27, 25.715895835349844, 100596.41841402058
190189675, -0.6700000166893005, 0.4099999964237213, -0.17000000178813934, 8.0625, -19.875, -52.5, 0.2552543878555298, 0.19853119552135468, -0.257436066865921, 195.6875, -0.6875, -2.125, 27, 25.715895835349844, 100596.41841402058
190204472, -0.800000011920929, 0.550000011920929, 0.11999999731779099, 8.0625, -19.875, -52.5, 0.21271200478076935, 0.20725785195827484, -0.21925698220729828, 195.9375, -0.875, -2.375, 27, 25.715895835349844, 100596.41841402058
190241724, -0.8199999928474426, 0.6800000071525574, 0.20000000298023224, 8.5, -22.75, -51.6875, 0.1025380939245224, 0.14071716368198395, -0.26834437251091003, 196.5, -1.25, -2.6875, 27, 25.72205107062433, 100595.54488281667
190251243, -0.8399999737739563, 0.699999988079071, 0.25999999046325684, 8.5, -22.75, -51.6875, 0.06872233748435974, 0.123263880610466, -0.27488934993743896, 196.625, -1.375, -2.6875, 27, 25.72205107062433, 100595.54488281667
190289335, -1.1799999475479126, 0.3700000047683716, 0.3100000023841858, 9.5, -19.875, -51.6875, 0.055632367730140686, 0.09817477315664291, -0.31088677048683167, 197.125, -1.6875, -2.8125, 27, 25.72205107062433, 100595.54488281667
190303862, -1.0099999904632568, 0.6499999761581421, 0.10000000149011612, 9.5, -19.875, -51.6875, 0.10144726186990738, -0.0021816615480929613, -0.318522572517395, 197.5, -1.75, -2.9375, 27, 25.72205107062433, 100595.54488281667
190340668, -0.5099999904632568, 1.149999976158142, -0.10999999940395355, 10.6875, -23.0625, -50.875, -0.05999569222331047, -0.13199052214622498, -0.19089537858963013, 197.875, -1.625, -2.9375, 27, 25.72205107062433, 100595.54488281667
