10, 59:b4:c4:49:30:92, -53, e9:25:91:e5:e0:6a, -67, 60:53:b0:80:1e:8c, -72, 62:53:b0:80:1e:8c, -72, 65:53:b0:80:1e:8c, -72, 40:7b:b0:80:1e:8c, -81, 42:7b:b0:80:1e:8c, -81, 45:7b:b0:80:1e:8c, -83, a0:22:16:42:18:a0, -89, 20:c1:b0:80:1e:8c, -89
10, 59:b4:c4:49:30:92, -53, e9:25:91:e5:e0:6a, -63, 60:53:b0:80:1e:8c, -82, 62:53:b0:80:1e:8c, -82, 65:53:b0:80:1e:8c, -82, 42:7b:b0:80:1e:8c, -85, 40:7b:b0:80:1e:8c, -86, 45:7b:b0:80:1e:8c, -86, be:80:22:d8:f6:14, -88, a6:73:ce:57:99:1c, -89
10, 59:b4:c4:49:30:92, -50, 60:53:b0:80:1e:8c, -74, 62:53:b0:80:1e:8c, -75, 65:53:b0:80:1e:8c, -75, e9:25:91:e5:e0:6a, -76, 40:7b:b0:80:1e:8c, -80, 45:7b:b0:80:1e:8c, -81, 42:7b:b0:80:1e:8c, -82, 25:c1:b0:80:1e:8c, -84, 20:c1:b0:80:1e:8c, -84
10, 59:b4:c4:49:30:92, -56, 62:53:b0:80:1e:8c, -79, 65:53:b0:80:1e:8c, -79, 60:53:b0:80:1e:8c, -80, 40:7b:b0:80:1e:8c, -84, 45:7b:b0:80:1e:8c, -84, 42:7b:b0:80:1e:8c, -85, e9:25:91:e5:e0:6a, -86, a6:73:ce:57:99:1c, -88, eb:74:ce:57:99:1c, -88
9, 59:b4:c4:49:30:92, -58, 60:53:b0:80:1e:8c, -74, e9:25:91:e5:e0:6a, -74, 62:53:b0:80:1e:8c, -75, 65:53:b0:80:1e:8c, -75, 42:7b:b0:80:1e:8c, -83, 40:7b:b0:80:1e:8c, -84, 45:7b:b0:80:1e:8c, -84, b:f7:22:d8:f6:14, -91
10, 59:b4:c4:49:30:92, -58, e9:25:91:e5:e0:6a, -71, 65:53:b0:80:1e:8c, -75, 62:53:b0:80:1e:8c, -76, 60:53:b0:80:1e:8c, -76, 40:7b:b0:80:1e:8c, -85, 42:7b:b0:80:1e:8c, -85, 45:7b:b0:80:1e:8c, -85, a6:73:ce:57:99:1c, -88, eb:74:ce:57:99:1c, -91
10, 59:b4:c4:49:30:92, -52, 60:53:b0:80:1e:8c, -78, 65:53:b0:80:1e:8c, -78, 62:53:b0:80:1e:8c, -79, e9:25:91:e5:e0:6a, -79, 40:7b:b0:80:1e:8c, -80, 42:7b:b0:80:1e:8c, -81, 45:7b:b0:80:1e:8c, -81, 70:a:8b:3f:7c:3c, -83, a0:22:16:42:18:a0, -83
10, 59:b4:c4:49:30:92, -58, e9:25:91:e5:e0:6a, -69, 60:53:b0:80:1e:8c, -76, 62:53:b0:80:1e:8c, -77, 65:53:b0:80:1e:8c, -77, 45:7b:b0:80:1e:8c, -80, 40:7b:b0:80:1e:8c, -81, 42:7b:b0:80:1e:8c, -82, 22:c1:b0:80:1e:8c, -86, 25:c1:b0:80:1e:8c, -87
10, 59:b4:c4:49:30:92, -59, 60:53:b0:80:1e:8c, -78, 62:53:b0:80:1e:8c, -78, e9:25:91:e5:e0:6a, -78, 65:53:b0:80:1e:8c, -79, 42:7b:b0:80:1e:8c, -79, 40:7b:b0:80:1e:8c, -81, 45:7b:b0:80:1e:8c, -81, e9:ea:cd:57:99:1c, -92, a0:22:16:42:18:a0, -92
10, 59:b4:c4:49:30:92, -57, e9:25:91:e5:e0:6a, -68, 60:53:b0:80:1e:8c, -79, 65:53:b0:80:1e:8c, -79, 62:53:b0:80:1e:8c, -80, 45:7b:b0:80:1e:8c, -80, 42:7b:b0:80:1e:8c, -81, 40:7b:b0:80:1e:8c, -82, 25:c1:b0:80:1e:8c, -85, 20:c1:b0:80:1e:8c, -86
10, 59:b4:c4:49:30:92, -58, 60:53:b0:80:1e:8c, -73, 62:53:b0:80:1e:8c, -74, 65:53:b0:80:1e:8c, -74, e9:25:91:e5:e0:6a, -75, 45:7b:b0:80:1e:8c, -78, 40:7b:b0:80:1e:8c, -81, 42:7b:b0:80:1e:8c, -82, 22:c1:b0:80:1e:8c, -83, 25:c1:b0:80:1e:8c, -85
10, 59:b4:c4:49:30:92, -56, e9:25:91:e5:e0:6a, -74, 65:53:b0:80:1e:8c, -75, 60:53:b0:80:1e:8c, -79, 62:53:b0:80:1e:8c, -79, 45:7b:b0:80:1e:8c, -80, 40:7b:b0:80:1e:8c, -82, 42:7b:b0:80:1e:8c, -83, 20:c1:b0:80:1e:8c, -85, 22:c1:b0:80:1e:8c, -85
10, 59:b4:c4:49:30:92, -59, e9:25:91:e5:e0:6a, -76, 70:a:8b:3f:7c:3c, -79, 60:53:b0:80:1e:8c, -80, 62:53:b0:80:1e:8c, -80, 65:53:b0:80:1e:8c, -80, 42:7b:b0:80:1e:8c, -81, 45:7b:b0:80:1e:8c, -81, 22:c1:b0:80:1e:8c, -82, 40:7b:b0:80:1e:8c, -82
10, 59:b4:c4:49:30:92, -56, e9:25:91:e5:e0:6a, -71, 65:53:b0:80:1e:8c, -74, 62:53:b0:80:1e:8c, -78, 60:53:b0:80:1e:8c, -79, 42:7b:b0:80:1e:8c, -82, 45:7b:b0:80:1e:8c, -82, 40:7b:b0:80:1e:8c, -83, 25:c1:b0:80:1e:8c, -89, 22:c1:b0:80:1e:8c, -89
10, 59:b4:c4:49:30:92, -53, e9:25:91:e5:e0:6a, -66, 45:7b:b0:80:1e:8c, -81, 40:7b:b0:80:1e:8c, -81, 42:7b:b0:80:1e:8c, -82, 20:c1:b0:80:1e:8c, -85, 22:c1:b0:80:1e:8c, -86, 25:c1:b0:80:1e:8c, -86, 60:53:b0:80:1e:8c, -87, 62:53:b0:80:1e:8c, -87
10, 59:b4:c4:49:30:92, -56, e9:25:91:e5:e0:6a, -67, 62:53:b0:80:1e:8c, -76, 65:53:b0:80:1e:8c, -77, 60:53:b0:80:1e:8c, -78, 40:7b:b0:80:1e:8c, -82, 45:7b:b0:80:1e:8c, -83, 20:c1:b0:80:1e:8c, -84, 22:c1:b0:80:1e:8c, -84, 25:c1:b0:80:1e:8c, -85
10, 59:b4:c4:49:30:92, -56, e9:25:91:e5:e0:6a, -64, 60:53:b0:80:1e:8c, -72, 62:53:b0:80:1e:8c, -73, 65:53:b0:80:1e:8c, -73, 45:7b:b0:80:1e:8c, -79, 42:7b:b0:80:1e:8c, -81, 22:c1:b0:80:1e:8c, -81, 20:c1:b0:80:1e:8c, -81, 40:7b:b0:80:1e:8c, -82
10, e9:25:91:e5:e0:6a, -57, 59:b4:c4:49:30:92, -58, 60:53:b0:80:1e:8c, -74, 65:53:b0:80:1e:8c, -74, 62:53:b0:80:1e:8c, -75, 70:a:8b:3f:7c:3c, -80, 42:7b:b0:80:1e:8c, -81, 40:7b:b0:80:1e:8c, -81, 45:7b:b0:80:1e:8c, -82, 22:c1:b0:80:1e:8c, -83
10, e9:25:91:e5:e0:6a, -62, 59:b4:c4:49:30:92, -62, 60:53:b0:80:1e:8c, -75, 62:53:b0:80:1e:8c, -75, 65:53:b0:80:1e:8c, -75, 20:c1:b0:80:1e:8c, -78, 22:c1:b0:80:1e:8c, -78, 25:c1:b0:80:1e:8c, -81, 40:7b:b0:80:1e:8c, -82, 42:7b:b0:80:1e:8c, -82
